,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DOW,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,VZ,V,WMT,WBA,DIS,^DJI
2000-02-24,45.5,37.92966842651367,4.1143975257873535,36.5625,18.125,35.71875,68.625,24.90625,,36.40625,89.625,53.0625,110.5,57.125,36.875,50.66666793823242,31.375,62.0,47.375,3.3828125,33.0625,44.25,16.008495330810547,22.75,6.578125,43.1674919128418,,47.875,26.0625,32.73946762084961,10092.6298828125
2000-02-25,42.875,36.397891998291016,3.9419643878936768,37.8125,18.0,35.53125,66.375,24.34375,,35.53125,89.25,53.0,108.0,56.625,36.0,50.58333206176758,31.0,60.1875,45.65625,3.3203125,32.375,42.5625,15.752832412719727,22.875,6.40625,42.77404022216797,,44.5,26.125,30.581499099731445,9862.1201171875
2000-02-28,43.21875,38.695552825927734,4.044642925262451,37.0,17.78125,37.28125,65.28125,24.65625,,36.75,88.0,56.8125,104.5,56.1875,36.375,51.95833206176758,31.125,61.5625,45.78125,3.484375,32.1875,44.1875,16.067495346069336,23.0625,6.4296875,44.853721618652344,,46.1875,26.4375,32.30787658691406,10038.650390625
2000-02-29,44.09375,39.15143966674805,4.09375,36.9375,17.53125,37.34375,66.09375,24.3125,,37.65625,92.5,57.5,102.75,56.5,36.0,53.08333206176758,31.75,61.5625,44.6875,3.5546875,32.125,43.9375,16.028162002563477,22.375,6.390625,44.0106086730957,,48.75,25.8125,33.54100036621094,10128.3095703125
2000-03-01,43.0625,39.53438186645508,4.654017925262451,36.3125,17.4375,37.625,65.84375,25.5,,38.03125,94.75,55.625,100.25,57.9375,36.6875,54.66666793823242,31.25,60.0,45.40625,3.515625,31.875,44.125,15.988829612731934,22.5625,6.828125,49.40654373168945,,49.0,25.625,34.21921920776367,10137.9296875
2000-03-02,43.03125,38.969085693359375,4.357142925262451,35.9375,17.21875,37.84375,66.375,24.8125,,38.5,96.25,55.125,103.125,57.875,36.84375,53.70833206176758,30.875,59.25,46.6875,3.6796875,32.0,43.65625,15.988829612731934,22.625,6.5625,49.687583923339844,,50.5625,24.6875,34.03424835205078,10164.919921875
2000-03-03,44.75,38.95085144042969,4.5714287757873535,35.9375,18.1875,37.28125,68.71875,25.0625,,37.84375,102.5,54.5,108.0,59.625,36.75,54.08333206176758,32.3125,57.5,48.0625,3.671875,32.625,44.21875,16.30349349975586,22.5625,6.8046875,49.74378967285156,,52.625,24.515625,36.00725173950195,10367.2001953125
2000-03-06,43.625,37.71084213256836,4.488839149475098,35.125,18.34375,37.0,68.0625,24.5,,36.46875,103.6875,53.875,103.0625,58.6875,35.25,55.625,31.5625,56.5,45.3125,3.5625,31.6875,43.71875,15.733165740966797,22.4375,6.5625,51.26139831542969,,50.5,24.25,35.513999938964844,10170.5
2000-03-07,41.375,36.872013092041016,4.388392925262451,34.75,16.90625,40.5,66.03125,23.5625,,40.0,104.875,52.375,103.0,57.875,34.25,54.54166793823242,29.875,53.9375,46.4375,3.484375,30.0,30.5,15.890497207641602,22.0625,6.125,50.02482986450195,,47.5625,22.75,35.513999938964844,9796.0302734375
2000-03-08,41.28125,35.81435775756836,4.357142925262451,33.375,17.46875,40.53125,66.1875,23.75,,39.8125,101.75,52.5,106.25,57.46875,35.5,52.66666793823242,30.75,56.8125,47.78125,3.40625,32.4375,29.0,15.497167587280273,21.75,5.953125,50.811737060546875,,48.3125,24.875,34.465843200683594,9856.5302734375
2000-03-09,40.46875,35.81435775756836,4.3660712242126465,33.75,17.625,41.625,69.65625,23.375,,40.21875,107.1875,55.3125,108.0,59.1875,36.34375,54.08333206176758,32.0,61.125,50.0,3.34375,34.375,28.875,15.123505592346191,22.75,6.1328125,52.72279739379883,,48.9375,25.625,35.760623931884766,10010.73046875
2000-03-10,40.75,36.96318817138672,4.4910712242126465,32.375,17.84375,40.1875,68.1875,22.75,,38.515625,112.25,53.5,105.25,60.09375,35.4375,52.45833206176758,31.75,59.5625,50.5,3.359375,35.0,26.875,15.379169464111328,23.0,6.359375,51.54243469238281,,47.9375,24.5,34.650814056396484,9928.8203125
2000-03-13,39.5,36.926719665527344,4.332589149475098,32.625,17.8125,39.90625,68.09375,21.875,,37.9375,110.375,53.0,107.6875,61.0625,35.0,53.375,32.4375,57.0,49.0,3.59375,34.3125,28.625,15.418501853942871,22.5,6.2578125,51.43001937866211,,47.6875,25.0625,34.465843200683594,9947.1298828125
2000-03-14,39.5625,37.47378158569336,4.080357074737549,33.0625,17.90625,41.4375,65.875,21.65625,,38.625,104.75,52.3125,108.625,58.9375,36.375,52.66666793823242,30.5,56.5,47.5625,3.609375,33.25,27.875,15.713499069213867,22.3125,6.2578125,50.41828155517578,,47.75,25.0,33.66431427001953,9811.240234375
2000-03-15,41.25,38.768497467041016,4.151785850524902,34.875,19.125,41.96875,64.3125,23.78125,,38.875,103.5625,57.0,107.0,60.09375,38.46875,55.41666793823242,32.5,59.8125,47.6875,4.125,35.25,29.25,16.952486038208008,23.875,6.4296875,50.41828155517578,,51.5,26.0,34.342533111572266,10131.41015625
2000-03-16,44.03125,41.94145965576172,4.341517925262451,35.625,20.34375,42.0625,65.8359375,24.875,,39.875,103.3125,61.5,109.0,62.53125,39.90625,60.08333206176758,34.0625,65.0,47.6875,4.46875,36.5,29.9375,17.935808181762695,27.1875,6.515625,52.04830551147461,,54.625,27.5,34.83578109741211,10630.599609375
2000-03-17,42.9375,41.90498733520508,4.464285850524902,38.0,19.8125,41.65625,67.5,24.5625,,38.5625,116.5,63.1875,110.0,64.9375,39.78125,60.66666793823242,33.8125,62.75,49.6875,4.25,35.8125,28.8125,17.18848419189453,26.625,6.453125,53.22866439819336,,55.75,27.9375,36.31553268432617,10595.23046875
2000-03-20,43.5,41.43086624145508,4.392857074737549,37.0,19.25,41.46875,67.0625,24.28125,,37.4375,113.4375,63.625,112.75,67.5,39.65625,57.70833206176758,34.5625,61.625,48.6875,4.125,35.0,29.0625,17.660478591918945,26.3125,6.625,53.17245864868164,,55.125,28.0,38.905094146728516,10680.240234375
2000-03-21,45.21875,42.56146240234375,4.8191962242126465,36.5625,19.90625,43.0,70.4296875,24.71875,,38.5,118.25,63.5,113.5,69.21875,40.125,61.33333206176758,35.25,63.9375,51.375,4.140625,36.6875,28.5,17.85714340209961,27.5625,6.75,52.947628021240234,,56.625,28.0,38.658470153808594,10907.33984375
2000-03-22,43.0,43.108524322509766,5.1495537757873535,36.25,19.46875,42.0,72.1875,23.53125,,37.46875,117.15625,63.0625,114.25,72.03125,41.125,61.04166793823242,35.25,64.4375,51.625,4.21875,35.625,28.5,17.562145233154297,27.375,6.6171875,52.04830551147461,,55.375,27.9375,39.953250885009766,10866.7001953125
2000-03-23,43.5,45.51559829711914,5.046875,35.125,19.78125,42.3125,77.8125,23.5,,37.75,119.0,64.125,115.25,71.3125,40.0,65.66666412353516,35.1875,62.875,55.9375,4.25,35.25,28.09375,18.368471145629883,28.25,6.828125,53.62211990356445,,54.0,27.1875,41.001407623291016,11119.8603515625
2000-03-24,45.4375,45.40618896484375,4.953125,36.0,19.75,42.8125,79.375,23.5,,38.625,121.3125,64.375,120.625,69.53125,36.125,64.125,34.8125,61.75,55.84375,4.234375,34.875,28.21875,17.955474853515625,29.5,7.1796875,53.50970458984375,,55.5,28.0,40.87809371948242,11112.7197265625
2000-03-27,44.3125,43.910884857177734,4.984375,37.125,19.53125,42.28125,80.0625,22.625,,38.2578125,112.0,64.375,126.875,71.34375,34.875,63.125,34.75,61.125,52.03125,4.4921875,34.75,27.625,18.07347297668457,29.5,6.96875,54.52144241333008,,55.4375,26.4375,41.18637466430664,11025.849609375
2000-03-28,44.4375,44.494415283203125,4.96875,38.0,19.15625,42.4375,77.875,22.4375,,39.5,113.25,64.0,122.5,67.84375,36.0,62.83333206176758,35.125,61.5625,52.15625,4.6015625,35.0625,28.5,18.19147300720215,30.0,6.921875,54.409027099609375,,54.5,26.625,40.38484191894531,10936.1103515625
2000-03-29,43.8125,44.23912048339844,4.854910850524902,37.875,19.5,44.25,76.0625,23.4375,,40.25,114.1875,68.5,119.0,65.9375,35.53125,60.25,36.8125,64.0,53.59375,4.875,36.375,29.34375,18.13247299194336,29.9375,6.9609375,55.75801086425781,,58.75,26.0,40.261531829833984,11018.7197265625
2000-03-30,44.5,43.47323226928711,4.4910712242126465,38.625,20.375,46.09375,73.625,24.28125,,39.3125,106.875,67.0,122.75,63.5,35.375,58.0,37.625,64.0625,51.6875,4.8359375,36.5,29.0,19.31245994567871,32.625,7.15625,55.083518981933594,,59.0,25.125,39.706626892089844,10980.25
2000-03-31,44.28125,43.45499801635742,4.8504462242126465,37.8125,19.71875,46.21875,77.3125,23.46875,,39.0,105.25,64.5,118.375,65.96875,35.125,58.125,37.375,62.125,53.125,4.953125,36.5625,28.375,19.882787704467773,34.125,7.453125,54.97110366821289,,56.5,25.75,40.6931266784668,10921.919921875
2000-04-03,45.9375,45.36971664428711,4.761160850524902,37.1875,20.9375,46.15625,72.9375,24.65625,,40.25,105.5,68.0,122.0,65.3125,36.125,61.66666793823242,38.5,66.75,45.4375,5.0,38.0,29.75,19.469791412353516,34.0,7.7578125,56.71354293823242,,61.1875,25.4375,41.24803161621094,11221.9296875
2000-04-04,46.46875,42.88970184326172,4.546875,37.3125,21.71875,44.90625,73.125,26.1875,,41.25,98.25,64.625,121.1875,66.375,38.375,57.83333206176758,38.53125,67.6875,44.28125,4.8671875,39.75,31.75,19.882787704467773,33.0,7.59375,57.331825256347656,,60.0,26.75,40.5698127746582,11164.83984375
2000-04-05,45.5625,42.160282135009766,4.65625,36.0625,21.21875,43.75,72.125,23.8125,,39.875,97.4375,64.0,125.0,64.9375,38.75,57.58333206176758,38.5625,68.25,43.1875,4.8984375,38.625,30.78125,19.194461822509766,32.6875,7.5,56.825958251953125,,58.25,26.9375,39.459999084472656,11033.919921875
2000-04-06,46.6875,41.13909912109375,4.470982074737549,36.125,21.15625,44.46875,71.8125,22.875,,40.875,106.0,65.9375,122.75,64.90625,37.4375,58.29166793823242,37.0,65.5625,43.0,5.1953125,38.375,31.375,19.35179328918457,32.25,7.7109375,58.624603271484375,,61.125,26.5625,39.89159393310547,11114.26953125
2000-04-07,45.8125,40.57380294799805,4.705357074737549,35.6875,20.6875,43.21875,74.9375,23.09375,,39.78125,102.5,64.125,123.125,68.40625,37.03125,57.58333206176758,37.0,65.5,44.53125,5.3671875,38.8125,31.71875,19.174795150756836,31.875,7.71875,58.11873245239258,,61.5,26.546875,40.44649887084961,11111.48046875
2000-04-10,46.375,41.777339935302734,4.464285850524902,35.0625,20.71875,43.03125,72.5625,22.5,,39.125,107.0625,66.6875,122.125,65.5625,38.0,58.75,36.375,66.375,43.03125,5.375,39.8125,33.0,20.138452529907227,32.125,7.984375,56.825958251953125,,63.5625,27.25,40.75477981567383,11186.5595703125
2000-04-11,47.71875,42.36087417602539,4.265625,35.6875,21.03125,44.34375,70.0,23.59375,,39.6875,104.8125,67.375,119.375,65.375,39.125,57.33333206176758,37.6875,67.3125,41.9375,5.640625,39.8125,33.21875,20.217117309570312,32.3125,8.1796875,57.61286544799805,,63.375,27.375,41.92625045776367,11287.080078125
2000-04-12,47.3125,43.98382568359375,3.9017856121063232,37.625,21.71875,44.5,65.0,24.25,,39.96875,96.5625,66.0,113.75,60.9375,38.5,57.875,36.3125,64.875,39.6875,5.5546875,40.375,34.65625,20.217117309570312,32.5,8.484375,57.89390182495117,,62.4375,28.25,39.52165603637695,11125.1298828125
2000-04-13,47.375,42.59793472290039,4.064732074737549,37.0,21.0,43.46875,61.125,23.625,,40.0,95.25,62.5,110.625,60.5625,38.125,56.33333206176758,34.125,65.8125,39.625,5.4921875,39.625,34.75,19.155128479003906,32.875,8.296875,56.71354293823242,,60.0625,27.875,38.720123291015625,10923.5498046875
2000-04-14,45.40625,39.09673309326172,3.9955356121063232,35.375,20.25,42.84375,57.0,23.5,,39.375,82.75,60.25,105.0,55.25,36.65625,52.58333206176758,33.5625,63.5625,37.0625,5.328125,37.9375,31.5,17.699811935424805,30.0,7.9921875,54.97110366821289,,55.0,26.3125,38.350189208984375,10305.76953125
2000-04-17,44.9375,39.09673309326172,4.424107074737549,35.3125,20.46875,41.46875,66.5,24.25,,37.75,87.5,57.25,111.875,61.5,38.75,52.41666793823242,33.6875,64.4375,37.9375,5.25,38.0,34.5,18.74213409423828,30.0625,7.96875,54.52144241333008,,54.0,27.75,38.22687530517578,10582.509765625
2000-04-18,44.9375,40.829097747802734,4.53125,34.75,20.125,42.28125,69.25,24.3125,,38.09375,93.75,58.75,111.5,64.5,40.75,53.66666793823242,32.5,66.25,40.28125,5.296875,39.5625,33.03125,18.270137786865234,30.875,8.109375,54.5776481628418,,53.875,27.5,38.96675109863281,10767.419921875
2000-04-19,45.21875,40.70145034790039,4.325892925262451,37.25,18.8125,42.375,66.125,24.59375,,38.71875,92.0625,58.75,105.0,59.53125,41.125,52.0,33.0625,69.0,39.34375,5.5078125,41.3125,33.03125,19.233795166015625,29.875,8.0859375,55.533180236816406,,54.9375,27.5,40.38484191894531,10674.9599609375
2000-04-20,46.125,41.722633361816406,4.245535850524902,40.0625,19.0,43.15625,65.125,24.71875,,39.5,88.8125,58.625,104.0,57.6875,40.8125,51.54166793823242,35.8125,69.75,39.46875,5.4921875,41.5,34.46875,20.158119201660156,30.6875,8.390625,54.18419647216797,,57.6875,28.0625,41.67962646484375,10844.0498046875
2000-04-24,48.6875,43.783233642578125,4.3035712242126465,37.875,19.5,42.625,63.4375,24.8125,,39.9375,86.875,59.5625,106.5,58.0625,41.9375,49.83333206176758,39.0,71.9375,33.3125,5.3984375,43.5,35.25,20.413782119750977,31.125,8.6796875,55.701805114746094,,58.875,28.75,39.706626892089844,10906.099609375
2000-04-25,46.90625,46.0991325378418,4.582589149475098,39.0,20.0625,42.40625,66.0,25.25,,40.5,97.0625,59.0,112.5,62.5,42.15625,52.04166793823242,38.75,72.5,34.6875,5.703125,43.4375,32.125,20.31545066833496,33.0,8.53125,56.60112762451172,,59.6875,29.1875,39.953250885009766,11124.8203125
2000-04-26,44.46875,45.11442184448242,4.332589149475098,39.9375,19.875,43.15625,66.75,24.71875,,40.0625,94.5,60.5,110.5,60.40625,41.375,50.95833206176758,38.875,71.9375,34.0,5.484375,43.5,30.375,19.07646369934082,32.75,8.4140625,55.308349609375,,58.75,29.0625,41.80293655395508,10945.5
2000-04-27,43.71875,45.22383499145508,4.526785850524902,39.8125,20.0625,44.21875,69.0,24.125,,40.34375,95.1875,58.8125,110.625,62.65625,41.5,49.25,38.8125,71.5,34.90625,5.4140625,42.75,30.4375,19.509124755859375,33.25,8.3828125,53.95936584472656,,57.6875,28.75,41.06306076049805,10888.099609375
2000-04-28,43.3125,43.619117736816406,4.4308037757873535,39.6875,19.71875,42.5625,69.328125,23.625,,38.84375,93.25,56.5,111.5,63.40625,41.25,48.08333206176758,38.0625,69.5,34.875,5.4296875,42.125,29.875,19.568124771118164,35.625,8.3359375,53.95936584472656,,55.375,28.125,43.03606414794922,10733.91015625
